time,tavg,tmin,tmax,prcp,wspd
,10.6,NaN,NaN,0.0,
,10.1,3.0,18.3,0.0,
,9.6,2.0,19.0,0.0,
,11.2,7.7,16.0,0.0,
,11.6,NaN,16.8,0.0,
,10.2,4.0,16.0,0.0,
,11.2,3.6,15.0,0.8,
,11.7,9.0,16.2,4.1,
,10.6,6.0,15.1,2.0,
,10.3,2.9,18.2,0.0,
,10.6,3.0,19.4,0.0,
,12.3,2.6,22.2,0.0,
,12.3,2.7,20.4,0.0,
,11.4,5.0,16.3,0.0,
,10.6,6.8,15.1,0.0,
,7.9,NaN,NaN,0.0,
,7.6,NaN,16.1,0.0,
,9.9,-1.5,18.1,0.0,
,11.1,3.0,19.1,0.0,
,11.5,8.3,17.4,0.0,
,8.4,5.0,15.5,0.0,
,8.1,NaN,NaN,0.0,
,9.0,0.0,16.1,0.0,
,9.3,NaN,15.1,NaN,
,10.4,5.0,16.0,NaN,
